repeticiones filas area tiempo iteraciones
2 2621 6869641 0.3317 1716100
3 2621 6869641 0.2933 1716100
4 2621 6869641 0.2711 1716100
5 2621 6869641 0.2980 1716100
1 2671 7134241 0.3287 1782225
2 2671 7134241 0.3253 1782225
3 2671 7134241 0.2947 1782225
4 2671 7134241 0.3602 1782225
5 2671 7134241 0.2793 1782225
1 2721 7403841 0.3392 1849600
2 2721 7403841 0.3644 1849600
3 2721 7403841 0.3134 1849600
4 2721 7403841 0.2895 1849600
5 2721 7403841 0.3209 1849600
1 2771 7678441 0.3422 1918225
2 2771 7678441 0.3915 1918225
3 2771 7678441 0.3437 1918225
4 2771 7678441 0.3755 1918225
5 2771 7678441 0.3531 1918225
1 2821 7958041 0.3719 1988100
2 2821 7958041 0.4124 1988100
3 2821 7958041 0.3308 1988100
4 2821 7958041 0.3547 1988100
5 2821 7958041 0.3582 1988100
1 2871 8242641 0.4179 2059225
2 2871 8242641 0.3890 2059225
3 2871 8242641 0.3611 2059225
4 2871 8242641 0.3665 2059225
5 2871 8242641 0.4279 2059225
1 2921 8532241 0.3795 2131600
2 2921 8532241 0.3805 2131600
3 2921 8532241 0.3730 2131600
4 2921 8532241 0.4242 2131600
5 2921 8532241 0.3733 2131600
1 2971 8826841 0.3540 2205225
2 2971 8826841 0.4176 2205225
3 2971 8826841 0.4244 2205225
4 2971 8826841 0.4091 2205225
5 2971 8826841 0.3856 2205225
1 3021 9126441 0.3895 2280100
2 3021 9126441 0.4297 2280100
3 3021 9126441 0.4179 2280100
4 3021 9126441 0.4048 2280100
5 3021 9126441 0.4117 2280100
1 3071 9431041 0.4291 2356225
2 3071 9431041 0.4469 2356225
3 3071 9431041 0.4148 2356225
4 3071 9431041 0.3878 2356225
5 3071 9431041 0.4468 2356225
1 3121 9740641 0.4099 2433600
2 3121 9740641 0.3960 2433600
3 3121 9740641 0.4263 2433600
4 3121 9740641 0.4582 2433600
5 3121 9740641 0.4234 2433600
1 3171 10055241 0.4446 2512225
2 3171 10055241 0.4237 2512225
3 3171 10055241 0.4790 2512225
4 3171 10055241 0.4604 2512225
5 3171 10055241 0.4456 2512225
1 3221 10374841 0.5119 2592100
2 3221 10374841 0.5123 2592100
3 3221 10374841 0.4447 2592100
4 3221 10374841 0.4404 2592100
5 3221 10374841 0.4772 2592100
1 3271 10699441 0.4793 2673225
2 3271 10699441 0.4755 2673225
3 3271 10699441 0.4727 2673225
4 3271 10699441 0.5046 2673225
5 3271 10699441 0.4958 2673225
1 3321 11029041 0.4551 2755600
2 3321 11029041 0.4665 2755600
3 3321 11029041 0.4729 2755600
4 3321 11029041 0.4969 2755600
5 3321 11029041 0.4824 2755600
1 3371 11363641 0.5483 2839225
2 3371 11363641 0.4627 2839225
3 3371 11363641 0.5109 2839225
4 3371 11363641 0.5456 2839225
5 3371 11363641 0.5571 2839225
1 3421 11703241 0.4992 2924100
2 3421 11703241 0.5533 2924100
3 3421 11703241 0.5140 2924100
4 3421 11703241 0.4792 2924100
5 3421 11703241 0.5426 2924100
1 3471 12047841 0.5294 3010225
2 3471 12047841 0.5079 3010225
3 3471 12047841 0.5655 3010225
4 3471 12047841 0.5119 3010225
5 3471 12047841 0.5322 3010225
1 3521 12397441 0.5898 3097600
2 3521 12397441 0.5960 3097600
3 3521 12397441 0.5615 3097600
4 3521 12397441 0.5980 3097600
5 3521 12397441 0.5245 3097600
1 3571 12752041 0.5270 3186225
2 3571 12752041 0.6568 3186225
3 3571 12752041 0.5672 3186225
4 3571 12752041 0.5574 3186225
5 3571 12752041 0.5824 3186225
1 3621 13111641 0.6138 3276100
2 3621 13111641 0.5442 3276100
3 3621 13111641 0.6325 3276100
4 3621 13111641 0.5580 3276100
5 3621 13111641 0.5539 3276100
1 3671 13476241 0.5876 3367225
2 3671 13476241 0.5318 3367225
3 3671 13476241 0.5975 3367225
4 3671 13476241 0.6697 3367225
5 3671 13476241 0.5886 3367225
1 3721 13845841 0.8222 3459600
2 3721 13845841 0.9212 3459600
3 3721 13845841 0.7139 3459600
4 3721 13845841 0.9614 3459600
5 3721 13845841 0.6676 3459600
1 3771 14220441 0.5887 3553225
2 3771 14220441 0.6673 3553225
3 3771 14220441 0.9103 3553225
4 3771 14220441 0.5796 3553225
5 3771 14220441 0.6701 3553225
1 3821 14600041 0.5767 3648100
2 3821 14600041 0.7036 3648100
3 3821 14600041 0.6333 3648100
4 3821 14600041 0.6225 3648100
5 3821 14600041 0.7663 3648100
1 3871 14984641 0.6644 3744225
2 3871 14984641 0.6690 3744225
3 3871 14984641 0.6978 3744225
4 3871 14984641 0.6383 3744225
5 3871 14984641 0.7225 3744225
1 3921 15374241 0.6756 3841600
2 3921 15374241 0.7895 3841600
3 3921 15374241 0.6893 3841600
4 3921 15374241 0.7438 3841600
5 3921 15374241 0.7458 3841600
1 3971 15768841 0.7474 3940225
2 3971 15768841 0.7209 3940225
3 3971 15768841 0.6975 3940225
4 3971 15768841 0.6778 3940225
5 3971 15768841 0.6531 3940225
1 4021 16168441 0.7432 4040100
2 4021 16168441 0.6077 4040100
3 4021 16168441 0.6241 4040100
4 4021 16168441 0.6202 4040100
5 4021 16168441 0.5859 4040100
1 4071 16573041 0.7181 4141225
2 4071 16573041 0.8740 4141225
3 4071 16573041 1.2451 4141225
4 4071 16573041 1.3781 4141225
5 4071 16573041 1.5838 4141225
1 4121 16982641 1.2825 4243600
2 4121 16982641 0.7000 4243600
3 4121 16982641 0.6393 4243600
4 4121 16982641 0.6450 4243600
5 4121 16982641 0.7402 4243600
1 4171 17397241 0.6287 4347225
2 4171 17397241 0.6918 4347225
3 4171 17397241 0.6329 4347225
4 4171 17397241 0.6958 4347225
5 4171 17397241 0.6602 4347225
1 4221 17816841 0.6616 4452100
2 4221 17816841 0.7394 4452100
3 4221 17816841 0.6522 4452100
4 4221 17816841 0.7198 4452100
5 4221 17816841 0.6500 4452100
1 4271 18241441 0.7050 4558225
2 4271 18241441 0.6777 4558225
3 4271 18241441 0.6403 4558225
4 4271 18241441 0.7384 4558225
5 4271 18241441 0.6699 4558225
1 4321 18671041 0.7310 4665600
2 4321 18671041 0.6780 4665600
3 4321 18671041 0.7302 4665600
4 4321 18671041 0.7102 4665600
5 4321 18671041 0.7074 4665600
1 4371 19105641 0.7214 4774225
2 4371 19105641 0.7015 4774225
3 4371 19105641 0.7707 4774225
4 4371 19105641 0.6893 4774225
5 4371 19105641 0.8690 4774225
1 4421 19545241 1.0444 4884100
2 4421 19545241 0.8613 4884100
3 4421 19545241 0.7542 4884100
4 4421 19545241 0.8665 4884100
5 4421 19545241 0.7886 4884100
1 4471 19989841 0.7766 4995225
2 4471 19989841 0.7442 4995225
3 4471 19989841 0.8200 4995225
4 4471 19989841 0.7250 4995225
5 4471 19989841 0.8023 4995225
1 4521 20439441 0.7572 5107600
2 4521 20439441 0.8263 5107600
3 4521 20439441 0.7772 5107600
4 4521 20439441 0.8127 5107600
5 4521 20439441 0.7523 5107600
1 4571 20894041 0.8216 5221225
2 4571 20894041 0.7786 5221225
3 4571 20894041 0.8270 5221225
4 4571 20894041 0.7608 5221225
5 4571 20894041 0.8896 5221225
1 4621 21353641 0.7998 5336100
2 4621 21353641 0.8550 5336100
3 4621 21353641 0.8364 5336100
4 4621 21353641 0.8002 5336100
5 4621 21353641 0.8226 5336100
1 4671 21818241 0.8138 5452225
2 4671 21818241 0.8083 5452225
3 4671 21818241 0.8082 5452225
4 4671 21818241 0.8240 5452225
5 4671 21818241 0.8051 5452225
1 4721 22287841 1.2083 5569600
2 4721 22287841 1.6604 5569600
3 4721 22287841 1.2997 5569600
4 4721 22287841 0.8504 5569600
5 4721 22287841 0.7932 5569600
1 4771 22762441 0.8645 5688225
2 4771 22762441 0.8071 5688225
3 4771 22762441 1.1322 5688225
4 4771 22762441 1.1577 5688225
5 4771 22762441 1.0340 5688225
1 4821 23242041 0.9802 5808100
2 4821 23242041 0.9151 5808100
3 4821 23242041 1.0039 5808100
4 4821 23242041 0.9645 5808100
5 4821 23242041 1.0718 5808100
1 4871 23726641 0.9424 5929225
2 4871 23726641 0.9641 5929225
3 4871 23726641 1.1594 5929225
4 4871 23726641 0.9459 5929225
5 4871 23726641 0.9624 5929225
1 4921 24216241 1.7902 6051600
2 4921 24216241 1.5096 6051600
3 4921 24216241 0.9521 6051600
4 4921 24216241 1.0663 6051600
5 4921 24216241 1.1970 6051600
1 4971 24710841 1.0069 6175225
2 4971 24710841 1.0433 6175225
3 4971 24710841 1.1211 6175225
4 4971 24710841 1.0061 6175225
5 4971 24710841 1.3801 6175225
1 5021 25210441 2.0852 6300100
2 5021 25210441 1.1380 6300100
3 5021 25210441 1.0527 6300100
4 5021 25210441 1.5125 6300100
5 5021 25210441 1.9271 6300100
1 5071 25715041 1.4785 6426225
2 5071 25715041 1.6851 6426225
3 5071 25715041 0.9556 6426225
4 5071 25715041 1.0780 6426225
5 5071 25715041 1.1552 6426225
1 5121 26224641 1.0478 6553600
2 5121 26224641 1.1081 6553600
3 5121 26224641 1.0267 6553600
4 5121 26224641 1.2088 6553600
5 5121 26224641 1.1565 6553600
1 5171 26739241 1.6507 6682225
