repeticiones filas area tiempo iteraciones
1 3321 11029041 0.7700 5511125
2 3321 11029041 1.1920 5511143
3 3321 11029041 1.4780 5511137
4 3321 11029041 1.2530 5511129
5 3321 11029041 1.1990 5511145
1 3371 11363641 1.1720 5678395
2 3371 11363641 0.9890 5678393
3 3371 11363641 0.9090 5678407
4 3371 11363641 0.7950 5678395
5 3371 11363641 0.7970 5678411
1 3421 11703241 0.9570 5848141
2 3421 11703241 0.9090 5848151
3 3421 11703241 0.9310 5848099
4 3421 11703241 0.9010 5848139
5 3421 11703241 0.9110 5848101
1 3471 12047841 0.9070 6020399
2 3471 12047841 0.9670 6020375
3 3471 12047841 0.8690 6020385
4 3471 12047841 0.9230 6020371
5 3471 12047841 0.8990 6020397
1 3521 12397441 0.9020 6195137
2 3521 12397441 0.8850 6195137
3 3521 12397441 0.9750 6195107
4 3521 12397441 0.9570 6195137
5 3521 12397441 0.9810 6195139
1 3571 12752041 0.9140 6372385
2 3571 12752041 0.9150 6372385
3 3571 12752041 0.8990 6372385
4 3571 12752041 0.8810 6372391
5 3571 12752041 0.9150 6372377
1 3621 13111641 0.9360 6552137
2 3621 13111641 0.9260 6552117
3 3621 13111641 0.9540 6552127
4 3621 13111641 1.0080 6552127
5 3621 13111641 0.9940 6552139
1 3671 13476241 0.9260 6734361
2 3671 13476241 0.9600 6734395
3 3671 13476241 0.9640 6734359
4 3671 13476241 0.9570 6734369
5 3671 13476241 0.9440 6734369
1 3721 13845841 0.9900 6919137
2 3721 13845841 0.9860 6919129
3 3721 13845841 0.9920 6919129
4 3721 13845841 1.0260 6919131
5 3721 13845841 0.9830 6919111
1 3771 14220441 1.0310 7106389
2 3771 14220441 0.9980 7106361
3 3771 14220441 1.0360 7106375
4 3771 14220441 0.9850 7106369
5 3771 14220441 1.0160 7106387
1 3821 14600041 1.0810 7296109
2 3821 14600041 1.0150 7296113
3 3821 14600041 1.0360 7296119
4 3821 14600041 1.0190 7296127
5 3821 14600041 1.0480 7296137
1 3871 14984641 1.1240 7488361
2 3871 14984641 1.0590 7488365
3 3871 14984641 1.0860 7488383
4 3871 14984641 1.0930 7488343
5 3871 14984641 1.0510 7488369
1 3921 15374241 1.1020 7683131
2 3921 15374241 1.0990 7683107
3 3921 15374241 1.0910 7683143
4 3921 15374241 1.1030 7683107
5 3921 15374241 1.0810 7683109
1 3971 15768841 1.1310 7880367
2 3971 15768841 1.1100 7880347
3 3971 15768841 1.1280 7880365
4 3971 15768841 1.1130 7880367
5 3971 15768841 1.1190 7880391
1 4021 16168441 1.1680 8080137
2 4021 16168441 1.1670 8080109
3 4021 16168441 1.1770 8080097
4 4021 16168441 1.1440 8080099
5 4021 16168441 1.1770 8080087
1 4071 16573041 1.1690 8282371
2 4071 16573041 1.1740 8282343
3 4071 16573041 1.2250 8282371
4 4071 16573041 1.1760 8282347
5 4071 16573041 1.1780 8282363
1 4121 16982641 1.2480 8487061
2 4121 16982641 1.2280 8487131
3 4121 16982641 1.2390 8487111
4 4121 16982641 1.2070 8487109
5 4121 16982641 1.2100 8487119
1 4171 17397241 1.2360 8694371
2 4171 17397241 1.2890 8694357
3 4171 17397241 1.2390 8694373
4 4171 17397241 1.2580 8694365
5 4171 17397241 1.2600 8694331
1 4221 17816841 1.3180 8904101
2 4221 17816841 1.3450 8904109
3 4221 17816841 1.2630 8904111
4 4221 17816841 1.2790 8904113
5 4221 17816841 1.2790 8904097
1 4271 18241441 1.3030 9116377
2 4271 18241441 1.3250 9116367
3 4271 18241441 1.3110 9116343
4 4271 18241441 1.2940 9116375
5 4271 18241441 1.3260 9116385
1 4321 18671041 1.3140 9331083
2 4321 18671041 1.3930 9331085
3 4321 18671041 1.3590 9331117
4 4321 18671041 1.3470 9331129
5 4321 18671041 1.3400 9331093
1 4371 19105641 1.3880 9548375
2 4371 19105641 1.3370 9548351
3 4371 19105641 1.3680 9548339
4 4371 19105641 1.3620 9548341
5 4371 19105641 1.3670 9548353
1 4421 19545241 1.4080 9768085
2 4421 19545241 1.4450 9768069
3 4421 19545241 1.4090 9768097
4 4421 19545241 1.4330 9768083
5 4421 19545241 1.4160 9768103
1 4471 19989841 1.4240 9990335
2 4471 19989841 1.4370 9990317
3 4471 19989841 1.4770 9990315
4 4471 19989841 1.4480 9990379
5 4471 19989841 1.4330 9990347
1 4521 20439441 1.4790 10215089
2 4521 20439441 1.5000 10215077
3 4521 20439441 1.4890 10215089
4 4521 20439441 1.4840 10215091
5 4521 20439441 1.4990 10215069
1 4571 20894041 1.5240 10442341
2 4571 20894041 1.5260 10442331
3 4571 20894041 1.5200 10442335
4 4571 20894041 1.5210 10442349
5 4571 20894041 1.5050 10442365
1 4621 21353641 1.6080 10672077
